aclew_id,corpus,clip_num,onset,offset
7326,Casillas,1,11340000,11460000
7326,Casillas,2,13380000,13500000
7326,Casillas,3,19380000,19500000
7326,Casillas,4,21660000,21780000
7326,Casillas,5,25560000,25680000
8787,Casillas,1,9900000,10020000
8787,Casillas,2,15900000,16020000
8787,Casillas,3,20100000,20220000
8787,Casillas,4,23280000,23400000
8787,Casillas,5,26640000,26760000
7176,Casillas,1,2520000,2640000
7176,Casillas,2,2760000,2880000
7176,Casillas,3,8160000,8280000
7176,Casillas,4,12840000,12960000
7176,Casillas,5,14220000,14340000
2109,Casillas,1,3360000,3480000
2109,Casillas,2,6540000,6660000
2109,Casillas,3,15420000,15540000
2109,Casillas,4,18360000,18480000
2109,Casillas,5,23100000,23220000
0643,Casillas,1,1980000,2100000
0643,Casillas,2,10320000,10440000
0643,Casillas,3,25140000,25260000
0643,Casillas,4,30300000,30420000
0643,Casillas,5,32460000,32580000
3026,Casillas,1,7740000,7860000
3026,Casillas,2,14460000,14580000
3026,Casillas,3,18660000,18780000
3026,Casillas,4,28260000,28380000
3026,Casillas,5,30780000,30900000
7220,Casillas,1,4140000,4260000
7220,Casillas,2,11760000,11880000
7220,Casillas,3,15180000,15300000
7220,Casillas,4,15480000,15600000
7220,Casillas,5,27780000,27900000
8179,Casillas,1,9540000,9660000
8179,Casillas,2,20700000,20820000
8179,Casillas,3,25860000,25980000
8179,Casillas,4,27060000,27180000
8179,Casillas,5,30240000,30360000
2625,Casillas,1,3060000,3180000
2625,Casillas,2,13500000,13620000
2625,Casillas,3,15900000,16020000
2625,Casillas,4,20340000,20460000
2625,Casillas,5,24420000,24540000
6216,Casillas,1,3120000,3240000
6216,Casillas,2,8520000,8640000
6216,Casillas,3,9420000,9540000
6216,Casillas,4,11940000,12060000
6216,Casillas,5,14280000,14400000
0790,Conicet Argentina,1,2340000,2460000
0790,Conicet Argentina,2,6960000,7080000
0790,Conicet Argentina,3,7620000,7740000
0790,Conicet Argentina,4,10140000,10260000
0790,Conicet Argentina,5,14460000,14580000
2534,Conicet Argentina,1,2520000,2640000
2534,Conicet Argentina,2,2880000,3000000
2534,Conicet Argentina,3,3960000,4080000
2534,Conicet Argentina,4,6660000,6780000
2534,Conicet Argentina,5,6780000,6900000
7903,Conicet Argentina,1,6120000,6240000
7903,Conicet Argentina,2,10140000,10260000
7903,Conicet Argentina,3,10620000,10740000
7903,Conicet Argentina,4,10800000,10920000
7903,Conicet Argentina,5,15060000,15180000
9909,Conicet Argentina,1,2100000,2220000
9909,Conicet Argentina,2,4740000,4860000
9909,Conicet Argentina,3,4980000,5100000
9909,Conicet Argentina,4,6900000,7020000
9909,Conicet Argentina,5,8340000,8460000
6026,Conicet Argentina,1,2100000,2220000
6026,Conicet Argentina,2,2700000,2820000
6026,Conicet Argentina,3,8700000,8820000
6026,Conicet Argentina,4,10680000,10800000
6026,Conicet Argentina,5,12420000,12540000
8788,Conicet Argentina,1,3360000,3480000
8788,Conicet Argentina,2,4080000,4200000
8788,Conicet Argentina,3,6060000,6180000
8788,Conicet Argentina,4,8220000,8340000
8788,Conicet Argentina,5,9120000,9240000
1299,Conicet Argentina,1,3780000,3900000
1299,Conicet Argentina,2,4260000,4380000
1299,Conicet Argentina,3,10260000,10380000
1299,Conicet Argentina,4,12000000,12120000
1299,Conicet Argentina,5,13680000,13800000
9051,Conicet Argentina,1,5880000,6000000
9051,Conicet Argentina,2,8220000,8340000
9051,Conicet Argentina,3,9000000,9120000
9051,Conicet Argentina,4,9480000,9600000
9051,Conicet Argentina,5,14700000,14820000
3510,Conicet Argentina,1,1980000,2100000
3510,Conicet Argentina,2,4380000,4500000
3510,Conicet Argentina,3,6720000,6840000
3510,Conicet Argentina,4,9960000,10080000
3510,Conicet Argentina,5,10380000,10500000
9426,Conicet Argentina,1,5040000,5160000
9426,Conicet Argentina,2,5520000,5640000
9426,Conicet Argentina,3,6060000,6180000
9426,Conicet Argentina,4,6660000,6780000
9426,Conicet Argentina,5,12480000,12600000
7798,LuCiD_Lang05,1,13800000,13920000
7798,LuCiD_Lang05,2,14400000,14520000
7798,LuCiD_Lang05,3,17580000,17700000
7798,LuCiD_Lang05,4,30780000,30900000
7798,LuCiD_Lang05,5,33240000,33360000
8357,LuCiD_Lang05,1,19560000,19680000
8357,LuCiD_Lang05,2,30300000,30420000
8357,LuCiD_Lang05,3,53160000,53280000
8357,LuCiD_Lang05,4,53280000,53400000
8357,LuCiD_Lang05,5,57000000,57120000
9801,LuCiD_Lang05,1,8820000,8940000
9801,LuCiD_Lang05,2,12840000,12960000
9801,LuCiD_Lang05,3,14760000,14880000
9801,LuCiD_Lang05,4,21720000,21840000
9801,LuCiD_Lang05,5,43620000,43740000
3486,LuCiD_Lang05,1,10620000,10740000
3486,LuCiD_Lang05,2,22380000,22500000
3486,LuCiD_Lang05,3,27960000,28080000
3486,LuCiD_Lang05,4,41460000,41580000
3486,LuCiD_Lang05,5,47220000,47340000
9408,LuCiD_Lang05,1,4800000,4920000
9408,LuCiD_Lang05,2,8820000,8940000
9408,LuCiD_Lang05,3,19380000,19500000
9408,LuCiD_Lang05,4,36300000,36420000
9408,LuCiD_Lang05,5,46140000,46260000
1735,LuCiD_Lang05,1,1920000,2040000
1735,LuCiD_Lang05,2,17160000,17280000
1735,LuCiD_Lang05,3,32340000,32460000
1735,LuCiD_Lang05,4,40620000,40740000
1735,LuCiD_Lang05,5,44820000,44940000
9492,LuCiD_Lang05,1,3780000,3900000
9492,LuCiD_Lang05,2,4560000,4680000
9492,LuCiD_Lang05,3,6180000,6300000
9492,LuCiD_Lang05,4,11100000,11220000
9492,LuCiD_Lang05,5,11340000,11460000
1156,LuCiD_Lang05,1,1980000,2100000
1156,LuCiD_Lang05,2,11580000,11700000
